# MO Energy Levels
#
#
# Alpha MOs
#    num     occ              Energy
      36       0        4.5212989800
      35       0        3.6227111800
      34       0        3.6227111800
      33       0        2.4455272700
      32       0        2.4455272700
      31       0        2.3747117500
      30       0        2.3176455500
      29       0        2.3176455500
      28       0        2.3151427600
      27       0        2.3085165400
      26       0        2.0602967900
      25       0        2.0602967900
      24       0        2.0559078800
      23       0        1.2812564300
      22       0        1.2724201900
      21       0        1.2724201900
      20       0        0.2232502740
      19       0        0.2213302890
      18       0        0.2213302890
      17       2       -0.5515790110
      16       2       -0.6592535180
      15       2       -0.6592535180
      14       2       -0.6731353460
      13       2       -0.7188107700
      12       2       -0.7188107700
      11       2       -0.8175597150
      10       2       -0.8175597150
       9       2       -0.8196359290
       8       2       -1.1039895200
       7       2       -1.6376628300
       6       2       -1.6376628300
       5       2       -1.7698269200
       4       2      -15.8374766000
       3       2      -26.2608987000
       2       2      -26.2608987000
       1       2      -26.2618153000
