Adduct,BE,Acid_En,Base_En,r_MN (Å),r_MX (Å),acid_angle,reorg_acid,reorg_base,Q_BA,Q_DA,Q_AA,Hard_acid,Hard_base,Hard_adduct
H₃N:AlCl₃,-66.98,"-1,011,966.80","-35,059.81",1.98,0.04,116.50,6.61,0.54,0.25,-1.01,1.40,5.25,9.04,7.14
H₃N:BCl₃,-49.14,"-876,324.53","-35,059.81",1.63,0.10,113.50,24.98,0.40,0.36,-0.90,0.27,5.73,9.04,7.39
H₃N:AlH₃,-42.88,"-152,033.28","-35,059.81",2.05,0.02,116.86,5.42,0.33,0.19,-0.96,0.74,5.63,9.04,7.33
H₃N:BF₃,-42.09,"-201,719.82","-35,059.81",1.69,0.05,114.13,24.11,0.20,0.20,-0.98,1.19,8.72,9.04,8.88
H₃N:BH₃,-35.65,"-16,463.91","-35,059.81",1.71,0.02,113.95,13.59,0.22,0.26,-0.86,0.00,7.01,9.04,8.02
H3P:AlCl₃,-27.27,"-1,011,966.80","-213,792.09",2.54,0.04,116.74,6.11,2.56,0.14,-0.04,1.43,5.25,7.64,6.44
H3P:AlH3,-12.69,"-152,033.28","-213,792.09",2.72,0.01,118.67,2.23,0.85,0.05,0.00,0.80,5.63,7.64,6.64
H3P:BH3,-8.39,"-16,463.91","-213,792.09",2.21,0.01,116.80,6.96,1.07,0.27,0.24,-0.18,7.01,7.64,7.32
H3P:BCl₃,-7.73,"-876,324.53","-213,792.09",2.06,0.10,113.85,23.76,4.33,0.66,0.49,-0.16,5.73,7.64,6.69
H3P:BF₃,-5.70,"-201,719.82","-213,792.09",3.03,0.00,119.74,0.90,0.17,0.01,0.02,1.20,8.72,7.64,8.18
"3,5-Dimethylpyridine:BCl₃",-47.92,"-876,324.53","-202,654.46",1.61,0.12,111.07,33.72,0.65,0.36,-0.96,0.35,5.73,6.34,6.04
py:BCl₃,-46.68,"-876,324.53","-153,933.28",1.61,0.12,111.24,33.01,0.69,0.35,-0.94,0.35,5.73,6.61,6.17
"2,6-Dimethylpyridine:BCl₃",-28.66,"-876,324.53","-202,658.56",1.62,0.13,111.49,42.20,10.83,-0.36,-1.00,0.35,5.73,6.35,6.04
